Model, Price, Rating
Apple iPhone X (Silver| 64 GB),Rs59999,4.6
Apple iPhone X (Space Gray| 64 GB),Rs59999,4.6
Apple iPhone 6s (Rose Gold| 32 GB),Rs29799,4.5
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs34900,4.5
Apple iPhone XR (Black| 64 GB),Rs59900,4.6
Apple iPhone 6s (Silver| 32 GB),Rs29799,4.5
Apple iPhone XR (Black| 128 GB),Rs64900,4.6
Apple iPhone 6s Plus (Silver| 32 GB),Rs34900,4.4
Apple iPhone 6s (Gold| 32 GB),Rs29799,4.5
Apple iPhone XR (White| 64 GB),Rs59900,4.6
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs59900,4.6
Apple iPhone XR (Coral| 128 GB),Rs64900,4.6
Apple iPhone XR (White| 128 GB),Rs64900,4.6
Apple iPhone 6s (Space Grey| 32 GB),Rs29529,4.5
Apple iPhone XR (Yellow| 256 GB),Rs74900,4.6
Apple iPhone XR (Blue| 128 GB),Rs64900,4.6
Apple iPhone XR (Blue| 64 GB),Rs59900,4.6
Apple iPhone 7 (Rose Gold| 128 GB),Rs48999,4.5
Apple iPhone 8 (Gold| 64 GB),Rs58999,4.6
Apple iPhone 8 (Space Grey| 64 GB),Rs58999,4.6
Apple iPhone 6s Plus (Silver| 16 GB),Rs39990,4.3
Apple iPhone XR (Coral| 64 GB),Rs59490,4.6
Apple iPhone 8 Plus (Gold| 256 GB),Rs79999,4.6
Apple iPhone XR ((PRODUCT)RED| 128 GB),Rs64490,4.6
